body_length,channels,fb_published,has_logo,name_length,org_facebook,org_twitter,show_map,user_age,user_type,Label,month,day,hour,minute,dayofyear,weekofyear,week,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,time_diff_seconds,previous_payout0,has_header_0.0,has_header_1.0,has_header_nan,yahoo,is_fr,is_org,delivery_method_0.0,delivery_method_1.0,delivery_method_3.0,delivery_method_nan
3852,5,0,0,60,0.0,0.0,1,36,1,1,2,13,12,0,44,6,6,5,1,False,False,False,False,36000.0,1,0,1,0,0,0,0,1,0,0,0
3499,0,0,1,27,0.0,12.0,0,149,3,0,2,3,8,0,34,5,5,3,1,False,False,False,False,32400.000000000004,0,1,0,0,0,0,1,0,1,0,0
2601,8,0,0,28,0.0,0.0,0,214,3,0,1,28,0,0,28,4,4,4,1,False,False,False,False,27000.0,0,0,0,1,0,0,0,0,1,0,0
12347,6,0,1,21,0.0,0.0,0,889,3,0,1,6,0,0,6,2,2,0,1,False,False,False,False,27831600.0,0,1,0,0,0,0,0,0,1,0,0
2417,11,1,0,66,0.0,0.0,0,35,3,0,2,17,0,0,48,7,7,3,1,False,False,False,False,28800.0,0,1,0,0,0,0,1,1,0,0,0
117,6,0,1,44,0.0,0.0,1,299,1,0,3,19,1,0,78,11,11,5,1,False,False,False,False,10800.0,0,1,0,0,0,0,0,1,0,0,0
28,5,0,1,36,0.0,0.0,1,706,3,0,2,17,2,30,48,7,7,3,1,False,False,False,False,9000.0,0,0,1,0,0,0,1,0,1,0,0
974,12,0,1,28,18.0,0.0,1,71,3,0,2,3,5,0,34,5,5,3,1,False,False,False,False,5400.0,0,1,0,0,0,0,1,1,0,0,0
4388,4,1,1,19,0.0,0.0,0,0,3,0,2,20,7,0,51,7,7,6,1,False,False,False,False,16200.000000000002,0,1,0,0,0,0,0,1,0,0,0
974,12,0,1,28,18.0,0.0,1,71,3,0,2,10,5,0,41,6,6,3,1,False,False,False,False,5400.0,0,1,0,0,0,0,1,1,0,0,0
4397,8,0,1,67,0.0,0.0,0,729,3,0,1,31,20,0,31,5,5,0,1,False,True,False,False,11700.0,0,1,0,0,0,0,1,0,1,0,0
1679,10,0,0,47,8.0,8.0,0,430,3,0,2,18,23,0,49,7,7,4,1,False,False,False,False,7200.0,0,1,0,0,0,0,0,0,1,0,0
7933,8,0,1,60,0.0,0.0,0,814,4,0,4,18,3,0,108,16,16,0,2,False,False,False,False,9000.0,0,1,0,0,0,0,0,0,1,0,0
7138,5,0,1,88,0.0,0.0,1,465,4,0,4,4,4,0,94,14,14,0,2,False,False,False,False,10800.0,0,1,0,0,0,0,1,0,1,0,0
10057,11,1,1,22,17.0,15.0,1,197,3,0,3,24,5,0,83,12,12,3,1,False,False,False,False,10800.0,0,1,0,0,0,0,0,1,0,0,0
1615,6,0,1,56,13.0,14.0,1,371,3,0,4,11,4,0,101,15,15,0,2,False,False,False,False,7200.0,0,0,1,0,0,0,0,1,0,0,0
1595,6,0,1,60,13.0,14.0,1,371,3,0,3,14,4,0,73,11,11,0,1,False,False,False,False,7200.0,0,0,1,0,0,0,0,1,0,0,0
148,5,0,1,46,0.0,0.0,1,3,1,0,3,11,6,0,70,10,10,4,1,False,False,False,False,7200.0,0,1,0,0,0,0,0,1,0,0,0
3387,11,1,1,39,0.0,0.0,0,709,4,0,8,20,23,0,232,33,33,5,3,False,False,False,False,25200.0,0,1,0,0,0,0,0,0,1,0,0
6045,6,0,1,25,0.0,0.0,1,125,3,0,8,12,8,0,224,32,32,4,3,False,False,False,False,18000.0,0,1,0,0,0,0,0,0,1,0,0
3530,6,1,1,38,0.0,0.0,1,2,3,0,4,9,6,0,99,14,14,5,2,False,False,False,False,187200.0,0,0,1,0,0,0,0,0,1,0,0
452,5,0,1,32,16.0,15.0,1,383,3,0,3,16,18,0,75,11,11,2,1,False,False,False,False,3600.0,0,1,0,0,0,0,0,1,0,0,0
742,5,0,0,22,0.0,0.0,1,448,3,0,3,18,20,0,77,11,11,4,1,False,False,False,False,97200.0,0,0,0,1,0,0,0,1,0,0,0
810,8,0,1,60,29.0,11.0,0,454,3,0,4,10,19,0,100,14,14,6,2,False,False,False,False,10800.0,0,1,0,0,0,0,0,0,1,0,0
1483,6,0,1,75,19.0,16.0,1,109,3,0,4,6,3,30,96,14,14,2,2,False,False,False,False,9000.0,0,0,1,0,0,0,0,1,0,0,0
3254,8,1,1,67,16.0,0.0,1,536,3,0,4,22,1,0,112,16,16,4,2,False,False,False,False,10800.0,0,1,0,0,1,0,0,0,1,0,0
870,11,0,0,48,0.0,0.0,0,42,3,1,3,8,18,0,67,10,10,1,1,False,False,False,False,1800.0,1,1,0,0,0,0,0,1,0,0,0
475,5,0,1,58,10.0,15.0,1,259,3,0,4,26,3,30,116,17,17,1,2,False,False,False,False,9000.0,0,1,0,0,0,0,0,0,1,0,0
1083,11,1,1,134,15.0,15.0,1,245,4,0,6,30,23,0,181,26,26,3,2,False,True,False,True,115200.0,0,0,1,0,0,0,1,0,1,0,0
1901,5,0,1,28,0.0,0.0,1,863,4,0,5,11,9,0,131,19,19,2,2,False,False,False,False,21600.0,0,1,0,0,1,0,0,1,0,0,0
326,0,1,0,17,0.0,0.0,0,608,4,0,5,10,9,0,130,19,19,1,2,False,False,False,False,12600.0,0,1,0,0,0,0,0,0,1,0,0
6833,12,0,1,60,9.0,0.0,0,219,3,0,9,1,23,30,244,35,35,3,3,True,False,False,False,12600.0,0,1,0,0,0,0,1,1,0,0,0
6433,0,0,1,47,0.0,0.0,1,205,3,0,5,11,3,30,131,19,19,2,2,False,False,False,False,7200.0,0,1,0,0,0,0,0,0,1,0,0
4847,5,0,1,26,0.0,0.0,0,91,4,0,6,30,21,0,181,26,26,3,2,False,True,False,True,72000.0,0,1,0,0,0,0,0,0,1,0,0
1624,8,0,1,15,0.0,0.0,0,161,3,0,5,16,17,30,136,20,20,0,2,False,False,False,False,7200.0,0,1,0,0,0,0,1,0,1,0,0
2102,8,0,1,55,10.0,5.0,0,0,3,0,5,30,23,0,150,22,22,0,2,False,False,False,False,1377000.0,0,1,0,0,0,0,0,0,1,0,0
1925,11,0,1,28,0.0,0.0,1,247,1,0,6,9,20,0,160,23,23,3,2,False,False,False,False,154800.0,0,1,0,0,0,0,0,1,0,0,0
7694,11,0,1,28,8.0,14.0,1,620,3,0,6,30,6,0,181,26,26,3,2,False,True,False,True,18000.0,0,1,0,0,0,0,1,0,1,0,0
3514,5,0,1,47,16.0,11.0,0,39,3,0,6,17,5,0,168,24,24,4,2,False,False,False,False,10800.0,0,1,0,0,0,0,0,1,0,0,0
1751,11,0,1,79,26.0,8.0,1,931,4,0,9,20,16,0,263,38,38,1,3,False,False,False,False,5400.0,0,1,0,0,0,0,1,0,1,0,0
3164,8,1,1,28,0.0,0.0,0,0,3,0,8,3,19,0,215,31,31,2,3,False,False,False,False,356400.0,0,1,0,0,0,0,0,0,0,1,0
445,8,0,1,44,0.0,0.0,0,384,3,0,6,4,22,0,155,22,22,5,2,False,False,False,False,7200.0,0,1,0,0,0,0,1,1,0,0,0
1837,8,0,1,48,6.0,6.0,1,89,3,0,7,1,3,0,182,26,26,4,3,True,False,True,False,25200.0,0,1,0,0,0,0,0,1,0,0,0
9466,11,0,1,82,0.0,0.0,1,62,3,0,6,1,0,40,152,22,22,2,2,True,False,False,False,4200.0,0,1,0,0,0,0,1,1,0,0,0
924,6,0,1,41,0.0,0.0,1,132,3,0,7,28,20,0,209,30,30,3,3,False,False,False,False,1015200.0000000001,0,1,0,0,0,0,0,0,1,0,0
4179,11,1,1,49,0.0,0.0,0,318,1,0,8,11,5,0,223,32,32,3,3,False,False,False,False,14400.0,0,1,0,0,0,0,0,1,0,0,0
1646,11,0,1,15,0.0,0.0,1,120,3,0,9,15,18,30,258,37,37,3,3,False,False,False,False,3600.0,0,1,0,0,0,0,0,1,0,0,0
7972,6,0,1,254,0.0,0.0,1,13,1,0,7,22,10,30,203,29,29,4,3,False,False,False,False,32400.000000000004,0,1,0,0,0,0,0,1,0,0,0
617,8,0,1,26,26.0,14.0,0,848,3,0,8,23,20,0,235,34,34,1,3,False,False,False,False,3600.0,0,1,0,0,0,0,1,1,0,0,0
1486,6,1,1,22,0.0,0.0,0,259,4,0,9,21,4,30,264,38,38,2,3,False,False,False,False,9000.0,0,1,0,0,0,0,0,1,0,0,0
1916,11,0,1,36,11.0,11.0,1,718,3,0,10,6,5,0,279,40,40,3,4,False,False,False,False,12600.0,0,1,0,0,0,0,1,1,0,0,0
536,6,1,0,32,0.0,0.0,1,77,1,1,2,17,8,0,48,7,7,4,1,False,False,False,False,18000.0,0,0,0,1,0,0,0,1,0,0,0
5325,11,0,1,23,0.0,0.0,0,0,3,0,10,2,23,0,275,39,39,6,4,False,False,False,False,25200.0,0,1,0,0,0,0,0,0,1,0,0
1167,13,0,0,78,13.0,14.0,1,383,3,0,9,16,5,0,259,37,37,4,3,False,False,False,False,9000.0,0,0,1,0,0,0,0,1,0,0,0
3081,11,0,1,32,0.0,12.0,0,0,1,1,8,8,0,0,220,32,32,0,3,False,False,False,False,111600.0,1,0,0,1,0,0,0,1,0,0,0
1239,8,0,1,21,0.0,0.0,1,90,3,0,3,16,0,0,76,11,11,4,1,False,False,False,False,28800.0,0,1,0,0,0,0,0,0,1,0,0
1615,6,0,1,57,13.0,14.0,1,553,3,0,10,5,4,0,278,40,40,2,4,False,False,False,False,7200.0,0,0,1,0,0,0,0,0,1,0,0
6463,5,0,1,9,35.0,14.0,1,312,3,0,10,4,4,0,277,40,40,1,4,False,False,False,False,93600.0,0,1,0,0,0,0,0,1,0,0,0
3648,8,0,1,17,0.0,0.0,0,0,3,0,10,27,21,30,300,43,43,3,4,False,False,False,False,77400.0,0,1,0,0,0,0,0,0,1,0,0
191,12,0,1,45,0.0,0.0,0,0,1,0,9,12,20,0,255,37,37,0,3,False,False,False,False,864000.0,0,1,0,0,0,0,0,1,0,0,0
5259,5,1,1,9,35.0,14.0,1,380,3,0,11,22,5,0,326,47,47,1,4,False,False,False,False,93600.0,0,1,0,0,0,0,0,1,0,0,0
4765,6,0,1,139,0.0,0.0,1,536,3,0,9,7,9,0,250,36,36,2,3,False,False,False,False,14400.0,0,1,0,0,0,0,0,1,0,0,0
2075,11,0,1,14,0.0,0.0,0,63,4,0,10,29,1,0,302,43,43,5,4,False,False,False,False,198000.0,0,1,0,0,0,0,0,0,1,0,0
3914,6,0,1,24,20.0,16.0,1,166,4,0,9,10,5,30,253,36,36,5,3,False,False,False,False,10800.0,0,1,0,0,0,0,0,1,0,0,0
0,5,0,1,7,0.0,0.0,1,47,1,0,9,17,10,0,260,37,37,5,3,False,False,False,False,28800.0,0,1,0,0,0,0,0,1,0,0,0
1545,8,0,1,74,7.0,8.0,0,968,3,0,10,11,4,0,284,41,41,1,4,False,False,False,False,10800.0,0,1,0,0,0,0,0,0,1,0,0
4873,5,1,1,46,40.0,10.0,1,460,1,0,10,20,9,0,293,42,42,3,4,False,False,False,False,21600.0,0,1,0,0,0,0,0,1,0,0,0
4352,5,0,1,119,0.0,0.0,1,108,4,0,10,28,9,0,301,43,43,4,4,False,False,False,False,21600.0,0,1,0,0,1,0,0,1,0,0,0
7583,6,1,1,26,0.0,0.0,1,372,4,0,10,1,4,0,274,39,39,5,4,True,False,True,False,7200.0,0,1,0,0,0,0,0,1,0,0,0
1386,8,0,1,57,0.0,0.0,1,379,4,0,10,17,3,0,290,42,42,0,4,False,False,False,False,10800.0,0,1,0,0,0,0,0,0,1,0,0
0,13,1,1,31,35.0,0.0,0,0,1,1,12,3,7,0,337,48,48,5,4,False,False,False,False,18000.0,1,1,0,0,1,0,0,1,0,0,0
1653,8,0,0,36,0.0,14.0,1,159,3,0,11,3,19,30,307,44,44,3,4,False,False,False,False,14400.0,0,0,0,1,0,0,0,1,0,0,0
4154,8,1,1,81,10.0,9.0,1,36,3,0,12,11,21,0,345,49,49,6,4,False,False,False,False,3600.0,0,0,1,0,0,0,1,1,0,0,0
756,6,0,1,28,20.0,10.0,0,0,1,0,1,13,7,55,13,2,2,4,1,False,False,False,False,17700.0,0,0,1,0,0,0,0,1,0,0,0
1765,12,0,1,44,0.0,0.0,1,463,1,0,10,21,5,30,294,42,42,4,4,False,False,False,False,5400.0,0,0,0,1,0,0,0,1,0,0,0
1512,12,0,1,44,0.0,0.0,1,463,1,0,10,27,5,30,300,43,43,3,4,False,False,False,False,5400.0,0,0,0,1,0,0,0,1,0,0,0
3070,10,0,1,50,16.0,15.0,1,300,3,0,2,3,2,0,34,5,5,4,1,False,False,False,False,28800.0,0,0,0,1,0,0,0,0,1,0,0
1631,11,0,1,22,0.0,0.0,1,86,4,0,11,8,5,0,312,45,45,1,4,False,False,False,False,7200.0,0,1,0,0,0,0,0,1,0,0,0
3188,11,0,1,81,0.0,0.0,0,1185,3,0,12,11,21,30,345,49,49,6,4,False,False,False,False,7200.0,0,0,1,0,0,0,0,0,1,0,0
1934,11,1,1,106,0.0,14.0,1,710,3,0,11,15,21,30,319,46,46,1,4,False,False,False,False,3600.0,0,1,0,0,0,0,0,0,1,0,0
666,0,0,1,18,0.0,0.0,1,0,1,0,11,17,1,0,321,46,46,3,4,False,False,False,False,28800.0,0,1,0,0,0,0,0,1,0,0,0
122,8,0,1,41,0.0,0.0,0,320,4,0,1,6,0,0,6,1,1,4,1,False,False,False,False,5544000.0,0,0,0,1,0,0,0,1,0,0,0
1733,8,0,1,53,0.0,0.0,1,533,3,0,11,17,23,0,321,46,46,3,4,False,False,False,False,18000.0,0,0,1,0,0,0,0,0,0,1,0
7057,9,0,1,52,0.0,0.0,1,1,3,0,8,10,23,0,223,32,32,4,3,False,False,False,False,109800.0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,1,19,0.0,0.0,0,43,3,0,12,18,1,0,352,50,50,6,4,False,False,False,False,14400.0,0,1,0,0,0,0,0,1,0,0,0
3761,6,0,1,37,0.0,0.0,1,724,4,0,12,8,10,0,342,49,49,3,4,False,False,False,False,25200.0,0,1,0,0,0,0,0,1,0,0,0
8452,11,0,1,32,0.0,0.0,1,0,3,0,12,18,5,0,352,50,50,6,4,False,False,False,False,10800.0,0,1,0,0,0,0,1,1,0,0,0
7825,10,0,0,54,11.0,15.0,0,1144,3,0,1,2,18,30,2,1,1,0,1,False,False,False,False,3600.0,0,0,1,0,0,0,0,0,1,0,0
420,5,0,1,27,0.0,0.0,1,608,1,0,1,6,10,0,6,1,1,4,1,False,False,False,False,18000.0,0,1,0,0,0,0,0,1,0,0,0
8131,8,0,1,47,48.0,13.0,1,456,3,0,3,17,0,0,77,11,11,5,1,False,False,False,False,111600.0,0,1,0,0,0,0,0,0,1,0,0
