body_length,channels,fb_published,has_logo,name_length,org_facebook,org_twitter,show_map,user_age,user_type,Label,previous_payout0,has_header_0.0,has_header_1.0,has_header_nan,yahoo,is_fr,is_org,delivery_method_0.0,delivery_method_1.0,delivery_method_3.0,delivery_method_nan,ticket_cost,ticket_availability,ticket_quant_total
3852,5,0,0,60,0.0,0.0,1,36,1,1,1,0,1,0,0,0,0,1,0,0,0,208.33333333333331,1.0,306.6666666666667
3499,0,0,1,27,0.0,12.0,0,149,3,0,0,1,0,0,0,0,1,0,1,0,0,35.0,1.0,50.0
2601,8,0,0,28,0.0,0.0,0,214,3,0,0,0,0,1,0,0,0,0,1,0,0,93.51,1.0,48.0
12347,6,0,1,21,0.0,0.0,0,889,3,0,0,1,0,0,0,0,0,0,1,0,0,13.666666666666664,1.0,5000.0
2417,11,1,0,66,0.0,0.0,0,35,3,0,0,1,0,0,0,0,1,1,0,0,0,101.75,1.0,33.0
117,6,0,1,44,0.0,0.0,1,299,1,0,0,1,0,0,0,0,0,1,0,0,0,11.75,1.0,351.25
28,5,0,1,36,0.0,0.0,1,706,3,0,0,0,1,0,0,0,1,0,1,0,0,157.114,1.0,249.0
974,12,0,1,28,18.0,0.0,1,71,3,0,0,1,0,0,0,0,1,1,0,0,0,14.0,1.0,64.0
4388,4,1,1,19,0.0,0.0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,250.0,1.0,75.0
974,12,0,1,28,18.0,0.0,1,71,3,0,0,1,0,0,0,0,1,1,0,0,0,14.0,1.0,64.0
4397,8,0,1,67,0.0,0.0,0,729,3,0,0,1,0,0,0,0,1,0,1,0,0,36.98,1.0,22.5
1679,10,0,0,47,8.0,8.0,0,430,3,0,0,1,0,0,0,0,0,0,1,0,0,30.0,1.0,30.0
7933,8,0,1,60,0.0,0.0,0,814,4,0,0,1,0,0,0,0,0,0,1,0,0,121.39,1.0,20.0
7138,5,0,1,88,0.0,0.0,1,465,4,0,0,1,0,0,0,0,1,0,1,0,0,35.0,1.0,35.0
10057,11,1,1,22,17.0,15.0,1,197,3,0,0,1,0,0,0,0,0,1,0,0,0,112.5,1.0,1000.0
1615,6,0,1,56,13.0,14.0,1,371,3,0,0,0,1,0,0,0,0,1,0,0,0,10.0,1.0,600.0
1595,6,0,1,60,13.0,14.0,1,371,3,0,0,0,1,0,0,0,0,1,0,0,0,10.0,1.0,250.0
148,5,0,1,46,0.0,0.0,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,10.0,1.0,100.0
3387,11,1,1,39,0.0,0.0,0,709,4,0,0,1,0,0,0,0,0,0,1,0,0,474.08,1.0,50.0
6045,6,0,1,25,0.0,0.0,1,125,3,0,0,1,0,0,0,0,0,0,1,0,0,195.0,1.0,248.5
3530,6,1,1,38,0.0,0.0,1,2,3,0,0,0,1,0,0,0,0,0,1,0,0,14.628571428571426,1.0,211.11428571428573
452,5,0,1,32,16.0,15.0,1,383,3,0,0,1,0,0,0,0,0,1,0,0,0,100.0,1.0,1.0
742,5,0,0,22,0.0,0.0,1,448,3,0,0,0,0,1,0,0,0,1,0,0,0,50.0,1.0,40.0
810,8,0,1,60,29.0,11.0,0,454,3,0,0,1,0,0,0,0,0,0,1,0,0,9.4,1.0,40.0
1483,6,0,1,75,19.0,16.0,1,109,3,0,0,0,1,0,0,0,0,1,0,0,0,17.5,1.0,62.5
3254,8,1,1,67,16.0,0.0,1,536,3,0,0,1,0,0,1,0,0,0,1,0,0,50.0,1.0,15.0
870,11,0,0,48,0.0,0.0,0,42,3,1,1,1,0,0,0,0,0,1,0,0,0,250.0,1.0,17.5
475,5,0,1,58,10.0,15.0,1,259,3,0,0,1,0,0,0,0,0,0,1,0,0,8.46,1.0,600.0
1083,11,1,1,134,15.0,15.0,1,245,4,0,0,0,1,0,0,0,1,0,1,0,0,1973.08,1.0,584.2857142857142
1901,5,0,1,28,0.0,0.0,1,863,4,0,0,1,0,0,1,0,0,1,0,0,0,25.0,1.0,300.0
326,0,1,0,17,0.0,0.0,0,608,4,0,0,1,0,0,0,0,0,0,1,0,0,30.506666666666664,1.0,466.66666666666674
6833,12,0,1,60,9.0,0.0,0,219,3,0,0,1,0,0,0,0,1,1,0,0,0,12.5,1.0,65.0
6433,0,0,1,47,0.0,0.0,1,205,3,0,0,1,0,0,0,0,0,0,1,0,0,22.76,1.0,50.0
4847,5,0,1,26,0.0,0.0,0,91,4,0,0,1,0,0,0,0,0,0,1,0,0,49.8025,1.0,112.5
1624,8,0,1,15,0.0,0.0,0,161,3,0,0,1,0,0,0,0,1,0,1,0,0,18.75,1.0,32.5
2102,8,0,1,55,10.0,5.0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,64.81,1.0,200.0
1925,11,0,1,28,0.0,0.0,1,247,1,0,0,1,0,0,0,0,0,1,0,0,0,29.142000000000003,1.0,67.2
7694,11,0,1,28,8.0,14.0,1,620,3,0,0,1,0,0,0,0,1,0,1,0,0,250.292,1.0,110.0
3514,5,0,1,47,16.0,11.0,0,39,3,0,0,1,0,0,0,0,0,1,0,0,0,15.0,1.0,110.0
1751,11,0,1,79,26.0,8.0,1,931,4,0,0,1,0,0,0,0,1,0,1,0,0,275.6425,1.0,2800.0
3164,8,1,1,28,0.0,0.0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0.0,1.0,70.0
445,8,0,1,44,0.0,0.0,0,384,3,0,0,1,0,0,0,0,1,1,0,0,0,28.0,1.0,120.0
1837,8,0,1,48,6.0,6.0,1,89,3,0,0,1,0,0,0,0,0,1,0,0,0,0.0,1.0,200.0
9466,11,0,1,82,0.0,0.0,1,62,3,0,0,1,0,0,0,0,1,1,0,0,0,52.5,1.0,75.25
924,6,0,1,41,0.0,0.0,1,132,3,0,0,1,0,0,0,0,0,0,1,0,0,11.25,1.0,60.0
4179,11,1,1,49,0.0,0.0,0,318,1,0,0,1,0,0,0,0,0,1,0,0,0,5.97,1.0,3366.666666666666
1646,11,0,1,15,0.0,0.0,1,120,3,0,0,1,0,0,0,0,0,1,0,0,0,5.0,1.0,20.0
7972,6,0,1,254,0.0,0.0,1,13,1,0,0,1,0,0,0,0,0,1,0,0,0,53.75,1.0,275.0
617,8,0,1,26,26.0,14.0,0,848,3,0,0,1,0,0,0,0,1,1,0,0,0,41.54,1.0,1000.0
1486,6,1,1,22,0.0,0.0,0,259,4,0,0,1,0,0,0,0,0,1,0,0,0,10.0,1.0,500.0
1916,11,0,1,36,11.0,11.0,1,718,3,0,0,1,0,0,0,0,1,1,0,0,0,46.26,1.0,130.0
536,6,1,0,32,0.0,0.0,1,77,1,1,0,0,0,1,0,0,0,1,0,0,0,33.30769230769231,1.9230769230769231,36.92307692307692
5325,11,0,1,23,0.0,0.0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,77.5,1.0,54.16666666666666
1167,13,0,0,78,13.0,14.0,1,383,3,0,0,0,1,0,0,0,0,1,0,0,0,5.93,1.0,100.0
3081,11,0,1,32,0.0,12.0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,500.0,1.0,100.0
1239,8,0,1,21,0.0,0.0,1,90,3,0,0,1,0,0,0,0,0,0,1,0,0,112.5,1.0,25.0
1615,6,0,1,57,13.0,14.0,1,553,3,0,0,0,1,0,0,0,0,0,1,0,0,10.0,1.0,300.0
6463,5,0,1,9,35.0,14.0,1,312,3,0,0,1,0,0,0,0,0,1,0,0,0,0.0,1.0,266.6666666666667
3648,8,0,1,17,0.0,0.0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,10.0,1.0,350.0
191,12,0,1,45,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,10.0,1.0,100.0
5259,5,1,1,9,35.0,14.0,1,380,3,0,0,1,0,0,0,0,0,1,0,0,0,0.0,1.0,80.0
4765,6,0,1,139,0.0,0.0,1,536,3,0,0,1,0,0,0,0,0,1,0,0,0,55.0,1.0,71.0
2075,11,0,1,14,0.0,0.0,0,63,4,0,0,1,0,0,0,0,0,0,1,0,0,53.76687500000001,1.0,52.0625
3914,6,0,1,24,20.0,16.0,1,166,4,0,0,1,0,0,0,0,0,1,0,0,0,12.85,1.0,100.0
0,5,0,1,7,0.0,0.0,1,47,1,0,0,1,0,0,0,0,0,1,0,0,0,35.0,1.0,34.0
1545,8,0,1,74,7.0,8.0,0,968,3,0,0,1,0,0,0,0,0,0,1,0,0,17.91,1.0,400.0
4873,5,1,1,46,40.0,10.0,1,460,1,0,0,1,0,0,0,0,0,1,0,0,0,30.0,1.0,300.0
4352,5,0,1,119,0.0,0.0,1,108,4,0,0,1,0,0,1,0,0,1,0,0,0,15.0,1.0,300.0
7583,6,1,1,26,0.0,0.0,1,372,4,0,0,1,0,0,0,0,0,1,0,0,0,5.0,1.0,50.0
1386,8,0,1,57,0.0,0.0,1,379,4,0,0,1,0,0,0,0,0,0,1,0,0,10.0,1.0,50.0
0,13,1,1,31,35.0,0.0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,30.0,1.0,50.0
1653,8,0,0,36,0.0,14.0,1,159,3,0,0,0,0,1,0,0,0,1,0,0,0,8.46,1.0,40.0
4154,8,1,1,81,10.0,9.0,1,36,3,0,0,0,1,0,0,0,1,1,0,0,0,8.46,1.0,33.0
756,6,0,1,28,20.0,10.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,15.545,1.0,125.0
1765,12,0,1,44,0.0,0.0,1,463,1,0,0,0,0,1,0,0,0,1,0,0,0,10.0,1.0,200.0
1512,12,0,1,44,0.0,0.0,1,463,1,0,0,0,0,1,0,0,0,1,0,0,0,10.0,1.0,200.0
3070,10,0,1,50,16.0,15.0,1,300,3,0,0,0,0,1,0,0,0,0,1,0,0,22.63,1.0,52.0
1631,11,0,1,22,0.0,0.0,1,86,4,0,0,1,0,0,0,0,0,1,0,0,0,6.95,1.0,75.0
3188,11,0,1,81,0.0,0.0,0,1185,3,0,0,0,1,0,0,0,0,0,1,0,0,8.758333333333333,1.0,18.33333333333333
1934,11,1,1,106,0.0,14.0,1,710,3,0,0,1,0,0,0,0,0,0,1,0,0,8.75,1.0,12.0
666,0,0,1,18,0.0,0.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,250.0,1.0,40.0
122,8,0,1,41,0.0,0.0,0,320,4,0,0,0,0,1,0,0,0,1,0,0,0,35.0,1.0,500.0
1733,8,0,1,53,0.0,0.0,1,533,3,0,0,0,1,0,0,0,0,0,0,1,0,10.0,1.0,125.0
7057,9,0,1,52,0.0,0.0,1,1,3,0,0,0,1,0,0,0,0,0,1,0,0,102.5,1.0,265.8333333333333
0,0,0,1,19,0.0,0.0,0,43,3,0,0,1,0,0,0,0,0,1,0,0,0,4112.55,1.0,10.0
3761,6,0,1,37,0.0,0.0,1,724,4,0,0,1,0,0,0,0,0,1,0,0,0,10.0,1.0,40.0
8452,11,0,1,32,0.0,0.0,1,0,3,0,0,1,0,0,0,0,1,1,0,0,0,35.0,1.0,140.0
7825,10,0,0,54,11.0,15.0,0,1144,3,0,0,0,1,0,0,0,0,0,1,0,0,110.98333333333332,1.0,2.0
420,5,0,1,27,0.0,0.0,1,608,1,0,0,1,0,0,0,0,0,1,0,0,0,17.5,1.0,200.0
8131,8,0,1,47,48.0,13.0,1,456,3,0,0,1,0,0,0,0,0,0,1,0,0,245.76,1.0,12.0
6127,8,0,1,113,0.0,0.0,1,247,3,0,0,1,0,0,0,0,0,0,1,0,0,1294.7,1.0,1.0
4136,8,0,1,30,12.0,12.0,1,56,3,0,0,1,0,0,0,0,0,1,0,0,0,37.5,1.0,6.0
0,0,0,1,27,0.0,0.0,0,232,5,0,0,1,0,0,0,0,0,1,0,0,0,250.0,1.0,1.0
3407,0,0,1,46,0.0,0.0,1,3,3,0,0,0,0,1,0,0,0,0,1,0,0,1.7879999999999998,1.0,800.0
1061,6,1,1,31,23.0,15.0,1,53,3,0,0,1,0,0,0,0,0,1,0,0,0,3.76,1.0,50.0
1314,6,0,1,45,0.0,0.0,1,211,3,0,0,0,1,0,0,0,1,1,0,0,0,20.0,1.0,56.66666666666666
1483,6,1,1,49,11.0,12.0,1,682,4,0,0,1,0,0,0,0,0,1,0,0,0,17.0,1.0,132.5
1860,5,0,0,20,0.0,0.0,0,359,1,0,0,0,1,0,0,0,0,0,1,0,0,655.0,1.0,51.5
2219,11,0,1,77,5.0,5.0,0,919,3,0,0,1,0,0,0,0,0,0,1,0,0,0.0,1.0,100000.0
12479,8,0,1,46,0.0,0.0,1,1103,4,0,0,1,0,0,0,0,0,1,0,0,0,17.5,1.0,180.0
14294,5,0,0,61,0.0,0.0,1,836,3,0,0,0,0,1,0,0,0,0,1,0,0,45.31,1.0,25.0
545,11,1,1,41,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,8.285714285714286,1.0,2199.428571428572
1232,11,1,1,63,13.0,13.0,1,779,3,0,0,0,0,1,0,0,0,1,0,0,0,13.18,1.0,60.0
2098,6,0,1,28,0.0,0.0,0,186,3,0,0,1,0,0,0,0,0,1,0,0,0,22.5,1.0,15.0
8970,5,0,1,68,0.0,0.0,1,196,1,0,0,0,1,0,0,0,0,1,0,0,0,15.0,1.0,30.0
5327,11,0,1,46,0.0,0.0,1,671,4,0,0,0,0,1,0,0,1,0,1,0,0,23.33333333333333,1.0,23.5
11284,8,0,0,86,0.0,0.0,1,700,4,0,0,0,0,1,0,0,1,1,0,0,0,15.0,1.0,50.0
775,11,1,0,48,0.0,0.0,1,699,3,0,0,0,1,0,0,0,0,0,1,0,0,140.76,1.0,10.0
2134,5,0,1,17,0.0,0.0,0,398,1,0,0,0,1,0,0,0,0,0,1,0,0,15.0,1.0,50.0
60635,5,1,1,68,12.0,13.0,0,132,3,0,0,0,0,1,0,0,1,0,1,0,0,23.0,1.0,46.0
6540,6,1,0,59,18.0,13.0,1,823,3,0,0,0,1,0,0,0,0,0,1,0,0,49.99,1.0,9.0
7212,8,0,1,58,0.0,14.0,0,129,3,0,0,1,0,0,0,0,0,1,0,0,0,183.28,1.0,300.0
2547,0,0,1,44,0.0,0.0,1,332,3,0,0,1,0,0,0,0,0,1,0,0,0,3.73,1.0,100.0
5537,5,0,1,37,19.0,12.0,1,89,3,0,0,0,0,1,0,0,0,1,0,0,0,15.875,1.0,9.0
1226,8,1,0,43,0.0,0.0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,52.87,1.0,3.0
911,5,0,1,62,0.0,0.0,1,99,3,0,0,1,0,0,0,0,0,1,0,0,0,16.5,1.0,42.0
3827,11,0,1,46,0.0,0.0,1,480,3,0,0,1,0,0,0,0,0,1,0,0,0,37.5,1.0,75.0
181,0,0,1,39,0.0,0.0,1,440,4,0,0,1,0,0,0,0,0,1,0,0,0,4.05,1.0,70.0
8622,11,0,1,93,0.0,0.0,1,65,3,0,0,1,0,0,0,0,0,0,1,0,0,52.28333333333333,1.0,17.0
9690,11,0,1,19,0.0,15.0,1,594,4,0,0,1,0,0,0,0,0,1,0,0,0,90.53,1.0,100.0
2220,8,0,1,39,17.0,0.0,1,454,3,0,0,0,1,0,0,0,0,0,1,0,0,3.43,1.0,100.0
4305,0,0,1,27,0.0,0.0,1,154,3,0,0,1,0,0,0,0,0,1,0,0,0,20.0,1.0,50.0
7526,11,0,1,52,0.0,0.0,1,519,3,0,0,0,1,0,0,0,0,0,1,0,0,169.0,1.0,15.0
3286,6,0,1,51,0.0,0.0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,13.45,1.0,50.0
37,12,0,1,11,0.0,0.0,1,121,3,0,0,1,0,0,0,0,0,1,0,0,0,6.5,1.0,400.0
1492,11,0,1,51,22.0,0.0,1,737,3,0,0,1,0,0,0,0,0,1,0,0,0,22.63,1.0,75.0
4502,8,0,0,88,12.0,14.0,1,377,3,0,0,0,1,0,0,0,1,0,1,0,0,6.88,1.0,66.66666666666667
9753,11,0,1,24,0.0,0.0,1,0,3,0,0,0,0,1,1,0,0,0,1,0,0,8.286428571428571,1.0,387.57142857142856
1045,0,0,1,43,0.0,0.0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,300.0,1.0,60.0
145,8,0,1,32,0.0,0.0,0,919,3,0,0,0,0,1,0,0,0,1,0,0,0,8.46,1.0,50.0
108,6,0,1,30,0.0,0.0,0,306,3,1,0,1,0,0,0,0,0,1,0,0,0,140.76,1.0,1000.0
1529,11,0,1,48,0.0,0.0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,683.3333333333334,1.0,100.0
7782,11,0,1,31,0.0,0.0,1,429,4,0,0,1,0,0,0,0,0,0,1,0,0,234.31,1.0,9.0
2430,8,0,1,38,0.0,0.0,1,223,3,0,0,1,0,0,0,0,0,1,0,0,0,24.86,1.0,13.5
175,5,0,0,42,0.0,0.0,1,840,3,0,0,0,1,0,0,0,0,0,1,0,0,65.66833333333334,1.0,483.33333333333326
11885,11,0,1,68,8.0,0.0,1,1455,3,0,0,1,0,0,0,0,1,0,1,0,0,4.562857142857143,1.0,250.0
2375,11,0,1,27,0.0,0.0,1,23,4,0,0,1,0,0,0,0,0,1,0,0,0,0.0,1.0,50.0
3366,8,0,0,47,34.0,13.0,1,150,3,0,0,0,0,1,0,0,0,1,0,0,0,5.0,1.0,8.0
7941,0,0,1,41,14.0,14.0,1,301,3,0,0,1,0,0,0,0,0,0,1,0,0,2.515,1.0,21.5
21743,5,0,1,70,0.0,0.0,1,673,1,0,0,1,0,0,0,0,0,1,0,0,0,47.5,1.0,58.5
108,6,0,1,31,0.0,0.0,0,328,3,1,0,1,0,0,0,0,0,1,0,0,0,140.76,1.0,1000.0
672,6,0,1,38,0.0,0.0,1,75,3,0,0,0,0,1,0,0,0,0,1,0,0,92.9,1.0,150.0
792,4,0,0,22,0.0,0.0,1,706,4,0,0,1,0,0,0,0,1,1,0,0,0,12.5,1.0,11.5
3935,10,0,1,68,0.0,0.0,1,35,3,0,0,0,0,1,0,0,1,0,1,0,0,179.93666666666664,1.0,104.0
331,13,0,1,30,0.0,0.0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,175.71428571428572,1.0,10.714285714285714
13593,8,1,1,78,0.0,0.0,1,586,3,0,0,1,0,0,0,0,0,1,0,0,0,162.515,1.0,13.0
8301,5,0,1,57,24.0,14.0,1,77,3,0,0,0,0,1,0,0,0,1,0,0,0,20.0,1.0,40.0
2302,8,0,1,39,7.0,8.0,1,1,3,0,0,0,0,1,0,0,0,1,0,0,0,21.88,1.0,20.0
803,11,0,1,86,0.0,0.0,1,574,3,0,0,0,1,0,0,0,0,0,1,0,0,39.5,1.0,73.75
1946,5,0,0,36,0.0,0.0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,91.875,1.0,100.0
116,5,1,1,27,0.0,0.0,1,812,4,0,0,1,0,0,0,0,0,1,0,0,0,50.0,1.0,200.0
5565,11,1,1,65,5.0,5.0,1,1502,4,0,0,1,0,0,0,0,0,0,1,0,0,80.676,1.0,50.0
924,8,0,1,21,40.0,11.0,1,394,3,0,0,1,0,0,0,0,0,1,0,0,0,80.0,1.0,8.0
3859,5,1,1,74,43.0,14.0,1,25,3,0,0,0,1,0,0,0,1,1,0,0,0,7.5,1.0,23.0
9024,0,0,0,22,18.0,16.0,1,1039,4,0,0,0,0,1,0,0,0,1,0,0,0,128.0375,1.0,6.5
8467,0,0,1,56,14.0,14.0,1,345,3,0,0,1,0,0,0,0,0,0,1,0,0,7.26,1.0,16.5
210,6,0,0,40,0.0,0.0,0,416,3,0,0,1,0,0,1,0,0,1,0,0,0,55.0,1.0,8.0
