,event_id,ticket_cost,ticket_availability,ticket_quant_total,ticket_quant_sold
0,527017,208.33333333333334,1.0,306.6666666666667,0.0
1,786878,35.0,1.0,50.0,12.5
2,787337,93.51,1.0,48.0,48.0
3,885645,13.666666666666666,1.0,5000.0,9.666666666666666
4,1114349,101.75,1.0,33.0,4.875
5,1179983,11.75,1.0,351.25,9.25
6,1180179,157.114,1.0,249.0,7.2
7,1180391,14.0,1.0,64.0,57.0
8,1180423,250.0,1.0,75.0,14.0
9,1180435,14.0,1.0,64.0,64.0
10,1180497,36.980000000000004,1.0,22.5,16.5
11,1213143,30.0,1.0,30.0,21.0
12,1245411,121.39,1.0,20.0,1.75
13,1245735,35.0,1.0,35.0,10.5
14,1245809,112.5,1.0,1000.0,29.0
15,1278699,10.0,1.0,600.0,237.0
16,1278715,10.0,1.0,250.0,186.0
17,1310811,10.0,1.0,100.0,3.0
18,1310849,474.08,1.0,50.0,8.0
19,1310985,195.0,1.0,248.5,70.25
20,1311215,14.628571428571428,1.0,211.11428571428573,44.31428571428572
21,1311633,100.0,1.0,1.0,1.0
22,1343963,50.0,1.0,40.0,5.0
23,1376573,9.4,1.0,40.0,23.0
24,1376585,17.5,1.0,62.5,48.5
25,1377131,50.0,1.0,15.0,2.0
26,1386643,250.0,1.0,17.5,1.0
27,1442103,8.46,1.0,600.0,599.0
28,1442185,1973.08,1.0,584.2857142857143,0.5714285714285714
29,1507459,25.0,1.0,300.0,33.5
30,1507635,30.506666666666664,1.0,466.6666666666667,161.33333333333334
31,1507815,12.5,1.0,65.0,17.25
32,1572881,22.76,1.0,50.0,29.0
33,1573079,49.802499999999995,1.0,112.5,2.0
34,1573545,18.75,1.0,32.5,9.0
35,1573787,64.81,1.0,200.0,125.0
36,1605819,29.142000000000003,1.0,67.2,2.4
37,1606203,250.292,1.0,110.0,26.6
38,1606251,15.0,1.0,110.0,109.0
39,1671219,275.6425,1.0,2800.0,16.25
40,1704255,0.0,1.0,70.0,18.0
41,1704735,28.0,1.0,120.0,2.8
42,1737295,0.0,1.0,200.0,20.0
43,1737605,52.5,1.0,75.25,0.25
44,1769553,11.25,1.0,60.0,1.0
45,1770371,5.97,1.0,3366.6666666666665,18.333333333333332
46,1770403,5.0,1.0,20.0,1.0
47,1840495,53.75,1.0,275.0,6.5
48,1868469,41.54,1.0,1000.0,26.0
49,1900721,10.0,1.0,500.0,9.0
50,1901149,46.26,1.0,130.0,30.0
51,1928009,33.30769230769231,1.9230769230769231,36.92307692307692,0.6923076923076923
52,1933487,77.5,1.0,54.166666666666664,15.333333333333334
53,1934033,5.93,1.0,100.0,33.0
54,1964043,500.0,1.0,100.0,0.0
55,1998849,112.5,1.0,25.0,2.6666666666666665
56,1999765,10.0,1.0,300.0,84.0
57,2031641,0.0,1.0,266.6666666666667,28.0
58,2031653,10.0,1.0,350.0,2.0
59,2031823,10.0,1.0,100.0,14.0
60,2031895,0.0,1.0,80.0,7.6
61,2065037,55.0,1.0,71.0,70.14285714285714
62,2065313,53.766875000000006,1.0,52.0625,50.1875
63,2097355,12.85,1.0,100.0,2.0
64,2130264,35.0,1.0,34.0,34.0
65,2130574,17.91,1.0,400.0,27.0
66,2163386,30.0,1.0,300.0,2.0
67,2163464,15.0,1.0,300.0,4.0
68,2192094,5.0,1.0,50.0,1.0
69,2196356,10.0,1.0,50.0,19.5
70,2228484,30.0,1.0,50.0,0.0
71,2228620,8.46,1.0,40.0,9.0
72,2228986,8.46,1.0,33.0,7.0
73,2261334,15.545,1.0,125.0,2.0
74,2261356,10.0,1.0,200.0,6.0
75,2261460,10.0,1.0,200.0,5.0
76,2326998,22.63,1.0,52.0,38.0
77,2327014,6.95,1.0,75.0,0.5
78,2360140,8.758333333333333,1.0,18.333333333333332,11.333333333333334
79,2360226,8.75,1.0,12.0,2.0
80,2424838,250.0,1.0,40.0,30.0
81,2425032,35.0,1.0,500.0,1.0
82,2425270,10.0,1.0,125.0,21.5
83,2425348,102.5,1.0,265.8333333333333,40.5
84,2457932,4112.55,1.0,10.0,1.0
85,2458264,10.0,1.0,40.0,4.0
86,2490426,35.0,1.0,140.0,28.0
87,2490702,110.98333333333333,1.0,2.0,0.6666666666666666
88,2523242,17.5,1.0,200.0,20.0
89,2523402,245.76,1.0,12.0,9.0
